Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wesley Johnson,SF,26,LAL,79,62,28.4,3.5,8.2,.425,1.3,3.4,.369,2.2,4.8,.466,.502,0.8,1.0,.792,0.9,3.5,4.4,1.6,1.1,1.0,1.1,2.6,9.1
James Jones,SF,33,MIA,20,6,11.8,1.6,3.4,.456,1.4,2.7,.519,0.2,0.7,.214,.662,0.4,0.6,.636,0.1,1.1,1.2,0.5,0.2,0.2,0.2,0.3,4.9
Sergey Karasev,SF,20,CLE,22,1,7.1,0.5,1.6,.343,0.2,0.9,.211,0.4,0.7,.500,.400,0.4,0.5,.900,0.0,0.7,0.7,0.3,0.1,0.0,0.5,1.0,1.7
Michael Kidd-Gilchrist,SF,20,CHA,62,62,24.2,2.7,5.7,.473,0.0,0.1,.111,2.7,5.5,.483,.475,1.8,3.0,.614,1.8,3.5,5.2,0.8,0.7,0.6,1.0,2.3,7.2
Kawhi Leonard,SF,22,SAS,66,65,29.1,5.1,9.8,.522,1.0,2.8,.379,4.1,7.0,.579,.576,1.5,1.9,.802,1.2,5.1,6.2,2.0,1.7,0.8,1.2,1.9,12.8
Rashard Lewis,SF,34,MIA,60,6,16.2,1.6,3.9,.415,0.8,2.2,.343,0.9,1.7,.510,.513,0.4,0.6,.788,0.4,1.4,1.8,1.0,0.9,0.1,0.6,1.5,4.5
Shawn Marion,SF,35,DAL,76,76,31.7,4.5,9.3,.482,0.8,2.1,.358,3.7,7.2,.518,.523,0.7,0.9,.785,1.7,4.8,6.5,1.6,1.2,0.5,1.3,1.6,10.4
Cartier Martin,SF,29,TOT,59,6,14.7,1.9,4.5,.420,1.0,2.6,.391,0.9,1.9,.460,.532,0.8,1.1,.738,0.2,1.6,1.9,0.6,0.5,0.1,0.6,1.2,5.6
Cartier Martin,SF,29,ATL,53,6,15.5,2.0,4.8,.414,1.1,2.8,.384,0.9,2.1,.455,.523,0.9,1.2,.754,0.2,1.8,2.0,0.6,0.5,0.1,0.6,1.3,5.9
Cartier Martin,SF,29,CHI,6,0,8.0,0.8,1.3,.625,0.5,0.8,.600,0.3,0.5,.667,.813,0.3,0.7,.500,0.2,0.7,0.8,0.3,0.2,0.0,0.2,0.5,2.5
Luc Mbah a Moute,SF,27,SAC,9,5,21.8,1.7,3.6,.469,0.1,0.3,.333,1.6,3.2,.483,.484,1.0,1.4,.692,1.0,2.0,3.0,1.7,1.0,0.6,0.4,2.0,4.4
Khris Middleton,SF,22,MIL,82,64,30.0,4.6,10.4,.440,1.5,3.5,.414,3.1,6.9,.454,.511,1.4,1.7,.861,0.7,3.0,3.8,2.1,1.0,0.2,1.5,3.0,12.1
Darius Miller,SF,23,NOP,45,7,16.1,1.6,3.7,.440,0.6,1.7,.325,1.1,2.0,.539,.515,0.6,0.8,.806,0.2,1.0,1.2,1.0,0.5,0.2,0.5,2.0,4.4
Mike Miller,SF,33,MEM,82,4,20.8,2.6,5.4,.481,1.3,2.8,.459,1.3,2.6,.505,.602,0.6,0.7,.821,0.4,2.2,2.5,1.6,0.3,0.1,0.9,1.2,7.1
Tony Mitchell,SF,24,MIL,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0
Marcus Morris,SF,24,PHO,82,1,22.0,3.5,7.9,.442,1.2,3.2,.381,2.3,4.8,.483,.518,1.5,1.9,.761,1.0,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7
James Nunnally,SF,23,TOT,13,0,12.7,1.2,3.5,.326,0.6,1.9,.320,0.5,1.6,.333,.413,0.5,0.7,.667,0.1,1.4,1.5,0.6,0.5,0.2,0.5,0.8,3.4
James Nunnally,SF,23,ATL,4,0,13.5,1.5,4.5,.333,0.8,2.5,.300,0.8,2.0,.375,.417,0.8,1.0,.750,0.3,1.8,2.0,0.5,0.3,0.3,1.0,0.5,4.5
James Nunnally,SF,23,PHI,9,0,12.3,1.0,3.1,.321,0.6,1.7,.333,0.4,1.4,.308,.411,0.3,0.6,.600,0.0,1.2,1.2,0.7,0.6,0.1,0.3,1.0,2.9
Travis Outlaw,SF,29,SAC,63,4,16.9,2.1,5.2,.399,0.7,1.9,.350,1.4,3.3,.426,.462,0.7,0.8,.808,0.6,2.1,2.7,0.8,0.3,0.3,0.4,1.5,5.4
Chandler Parsons,SF,25,HOU,74,74,37.6,6.3,13.3,.472,1.8,4.7,.370,4.5,8.6,.528,.538,2.2,3.0,.742,0.9,4.6,5.5,4.0,1.2,0.4,1.9,2.3,16.6
Paul Pierce*,SF,36,BRK,75,68,28.0,4.3,9.5,.451,1.5,4.0,.373,2.8,5.5,.507,.529,3.4,4.1,.826,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,13.5
Otto Porter,SF,20,WAS,37,0,8.6,0.9,2.5,.363,0.1,0.6,.190,0.8,1.9,.414,.385,0.2,0.3,.667,0.6,1.0,1.5,0.3,0.2,0.0,0.4,0.7,2.1
Tayshaun Prince,SF,33,MEM,76,76,25.6,2.6,6.5,.407,0.3,0.9,.290,2.4,5.6,.426,.427,0.4,0.8,.567,0.4,2.7,3.1,1.6,0.5,0.3,0.5,0.8,6.0
John Salmons,SF,34,SAC,18,8,24.7,2.3,6.5,.350,0.9,2.3,.381,1.4,4.2,.333,.419,0.4,0.4,1.000,0.4,2.1,2.6,2.4,0.7,0.4,0.8,1.8,5.8
Tornike Shengelia,SF,22,TOT,26,0,5.9,0.5,1.1,.464,0.0,0.2,.000,0.5,0.8,.591,.464,0.1,0.3,.375,0.2,0.5,0.6,0.5,0.1,0.0,0.5,0.7,1.1
Tornike Shengelia,SF,22,BRK,17,0,8.1,0.6,1.4,.458,0.0,0.4,.000,0.6,1.1,.611,.458,0.2,0.5,.375,0.2,0.6,0.8,0.7,0.1,0.1,0.6,0.9,1.5
Tornike Shengelia,SF,22,CHI,9,0,1.9,0.2,0.4,.500,0.0,0.0,0,0.2,0.4,.500,.500,0.0,0.0,0,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.2,0.4
Kyle Singler,SF,25,DET,82,36,28.5,3.3,7.3,.447,1.1,3.0,.382,2.1,4.3,.492,.525,1.9,2.2,.826,1.4,2.3,3.7,0.9,0.7,0.5,1.0,2.6,9.6
Chris Singleton,SF,24,WAS,25,0,10.0,1.0,2.7,.373,0.3,0.8,.368,0.7,1.9,.375,.425,0.7,1.0,.720,0.7,1.5,2.2,0.2,0.4,0.1,0.7,1.0,3.0
J.R. Smith,SF,28,NYK,74,37,32.7,5.4,12.9,.415,2.6,6.5,.394,2.8,6.4,.436,.514,1.2,1.9,.652,0.5,3.5,4.0,3.0,0.9,0.3,1.5,2.6,14.5
Josh Smith,SF,28,DET,77,76,35.5,6.7,16.0,.419,0.9,3.4,.264,5.8,12.6,.462,.448,2.1,3.9,.532,1.3,5.4,6.8,3.3,1.4,1.4,2.6,2.6,16.4
James Southerland,SF,23,TOT,4,0,7.5,1.3,3.8,.333,0.8,1.5,.500,0.5,2.3,.222,.433,0.3,0.5,.500,0.0,2.0,2.0,0.0,0.3,0.5,0.3,0.8,3.5
James Southerland,SF,23,CHA,1,0,3.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Southerland,SF,23,NOP,3,0,9.0,1.7,4.0,.417,1.0,1.7,.600,0.7,2.3,.286,.542,0.3,0.7,.500,0.0,2.7,2.7,0.0,0.3,0.7,0.3,1.0,4.7
Jeff Taylor,SF,24,CHA,26,8,24.2,3.2,8.4,.376,0.7,2.6,.269,2.5,5.8,.424,.417,1.0,1.8,.553,0.6,1.7,2.3,0.8,0.5,0.2,1.0,2.4,8.0
Mirza Teletović,SF,28,BRK,72,7,19.4,3.1,7.3,.418,1.9,4.8,.390,1.2,2.5,.472,.546,0.6,0.9,.710,0.8,2.9,3.7,0.8,0.4,0.3,0.8,2.0,8.6
Adonis Thomas,SF,20,TOT,6,1,6.2,1.0,2.3,.429,0.2,0.8,.200,0.8,1.5,.556,.464,0.2,0.2,1.000,0.0,0.5,0.5,0.5,0.0,0.0,0.2,1.0,2.3
Adonis Thomas,SF,20,ORL,4,0,6.0,0.8,2.3,.333,0.0,0.8,.000,0.8,1.5,.500,.333,0.3,0.3,1.000,0.0,0.8,0.8,0.5,0.0,0.0,0.0,0.5,1.8
Adonis Thomas,SF,20,PHI,2,1,6.5,1.5,2.5,.600,0.5,1.0,.500,1.0,1.5,.667,.700,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.0,3.5
Lance Thomas,SF,25,NOP,5,0,8.4,0.4,1.8,.222,0.0,0.0,0,0.4,1.8,.222,.222,0.4,0.8,.500,0.4,1.0,1.4,0.6,0.0,0.0,0.4,0.8,1.2
Hollis Thompson,SF,22,PHI,77,41,22.6,2.2,4.8,.460,0.9,2.2,.401,1.4,2.7,.507,.550,0.7,0.9,.712,0.9,2.3,3.2,0.9,0.7,0.2,0.8,1.9,6.0
P.J. Tucker,SF,28,PHO,81,81,30.7,3.3,7.6,.431,0.9,2.4,.387,2.4,5.2,.450,.491,1.9,2.5,.776,2.0,4.5,6.5,1.7,1.4,0.3,1.3,2.5,9.4
Hedo Türkoğlu,SF,34,LAC,38,0,10.3,1.1,2.9,.385,0.6,1.3,.440,0.5,1.6,.339,.486,0.2,0.5,.500,0.3,2.1,2.3,0.9,0.5,0.3,0.4,1.3,3.0
Evan Turner,SF,25,TOT,81,56,30.3,5.4,12.6,.425,0.6,1.9,.321,4.7,10.7,.444,.450,2.6,3.2,.813,0.8,4.3,5.0,3.2,0.8,0.1,2.3,2.4,14.0
Evan Turner,SF,25,PHI,54,54,34.9,6.6,15.4,.428,0.7,2.4,.288,5.9,12.9,.455,.451,3.5,4.2,.829,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,17.4
Evan Turner,SF,25,IND,27,2,21.1,2.9,7.0,.411,0.4,0.9,.500,2.4,6.1,.398,.442,0.9,1.3,.706,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1
Gerald Wallace,SF,31,BOS,58,16,24.4,2.0,4.0,.504,0.3,1.1,.297,1.7,2.9,.584,.546,0.8,1.7,.465,0.6,3.0,3.7,2.5,1.3,0.2,1.7,1.4,5.1
Martell Webster,SF,27,WAS,78,13,27.7,3.3,7.5,.433,1.9,4.8,.392,1.4,2.8,.502,.557,1.3,1.6,.840,0.5,2.4,2.8,1.2,0.5,0.2,0.7,1.9,9.7
Derrick Williams,SF,22,SAC,67,15,24.7,2.8,6.4,.437,0.4,1.3,.286,2.4,5.1,.474,.465,2.6,3.6,.708,1.0,3.4,4.4,0.8,0.7,0.2,1.0,1.6,8.5
Reggie Williams,SF,27,OKC,3,0,5.7,1.7,3.0,.556,0.3,1.0,.333,1.3,2.0,.667,.611,0.0,0.0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.3,3.7
Metta World Peace,SF,34,NYK,29,1,13.4,1.9,4.9,.397,0.6,1.9,.315,1.3,3.0,.448,.457,0.3,0.6,.625,0.6,1.4,2.0,0.6,0.8,0.3,0.7,1.5,4.8
Chris Wright,SF,25,MIL,8,0,15.8,2.6,4.4,.600,0.0,0.1,.000,2.6,4.3,.618,.600,0.8,1.9,.400,1.3,1.3,2.5,0.6,0.9,0.6,0.6,2.1,6.0
Dorell Wright,SF,28,POR,68,13,14.5,1.6,4.4,.374,1.0,3.0,.342,0.6,1.4,.442,.490,0.8,1.0,.754,0.4,2.4,2.8,0.9,0.3,0.2,0.6,0.9,5.0
